,skill_id,preq
0,2881,2903
1,2909,2909
2,2903,2939
3,2939,2881
4,2971,2961
5,2999,2971
6,2961,2999
8,3048,3048
9,3001,3001
10,3086,3086
11,3080,3080
12,3097,3097
13,3095,3095
14,921,921
15,3112,3112
16,3007,3007
17,3120,3120
18,3090,2942
19,2884,3090
20,2942,2884
21,3189,3176
22,3188,3189
23,3193,3188
24,3191,3193
25,3221,3191
26,3214,3214
27,3137,3221
28,3216,3223
29,3223,3137
30,3222,3216
31,3240,3222
32,3236,3236
33,3242,3240
34,3250,3175
35,3175,3250
36,3255,3249
37,3265,3255
38,3245,3265
39,3270,3245
40,3272,3270
41,3252,3272
42,1111,3252
43,3267,1111
44,3286,3267
45,3298,3239
46,3293,3286
47,3302,3298
48,3303,3293
49,3306,2994
50,2915,3302
51,3310,3303
52,3239,3306
53,3256,3307
54,3186,2915
55,2892,3310
56,3342,3312
57,3330,3256
58,3345,3030
59,3337,3186
60,2632,2892
61,3217,3242
62,3253,3327
63,3084,3342
64,3289,3330
65,3030,3345
66,3307,3337
67,3312,2632
68,1823,3217
69,3341,3253
70,3370,3084
71,2932,1823
72,3424,3289
73,3350,3258
74,3450,3350
75,3475,3341
76,3476,3370
77,1846,2932
78,3489,2940
79,3273,3424
80,1545,3450
81,3451,3475
82,3527,3476
83,3460,1846
84,3439,3489
85,3538,3273
86,3387,3460
87,3514,1545
88,3557,3451
89,3585,3527
90,3609,3439
91,3622,3538
92,3608,3387
93,3624,3514
94,3619,3557
95,3657,3585
96,3438,3609
97,3309,3622
98,3720,3608
99,3715,3624
100,3688,3619
101,3666,3657
102,3018,3666
103,3769,3438
104,3777,3309
105,3775,3688
106,3710,3720
107,3588,3715
108,3845,3018
109,3848,3759
110,3561,3769
111,3677,3777
112,3758,3775
113,3862,3710
114,3431,3588
115,3868,3848
116,3863,3845
117,3805,3561
118,3528,3677
119,3921,3758
120,3917,3862
121,3739,3431
122,3923,3868
123,3928,3863
124,3900,3805
125,3935,3528
126,3734,3921
127,3368,3917
128,4034,3739
129,4035,3923
130,3548,3928
131,4045,3900
132,4052,3935
133,4062,3734
134,3525,3368
135,3902,4034
136,4077,4035
137,3843,3548
138,4104,4045
139,4120,4052
140,3761,4062
141,2878,3525
142,3283,3902
143,3986,4077
144,4154,3721
145,3995,3843
146,4178,4104
147,4192,4120
148,4223,3761
149,4217,4133
150,4225,2878
151,3316,3283
152,4097,3986
153,4218,4154
154,4019,4167
155,4245,4178
156,4253,4192
157,3470,4223
158,4306,3936
159,4247,4217
160,3343,4225
161,4325,3316
162,4041,4097
163,4323,4218
164,4362,4019
165,3936,4245
166,3996,3664
167,3970,4253
168,4409,3470
169,4414,4247
170,4416,4306
171,4426,3343
172,4437,4041
173,4281,4323
174,4429,4362
175,3544,3996
176,2994,3970
177,4063,4409
178,4167,4410
179,4280,4414
180,4523,4416
181,4529,4426
182,4126,4437
183,4469,4281
184,4444,4429
185,3055,4469
186,4566,3544
187,4565,4063
188,4476,3995
189,4477,4280
190,4309,4523
191,4479,4529
192,4628,4126
193,4649,4444
194,4651,3055
195,4424,4566
196,4664,4565
197,4682,4476
198,4698,4477
199,4699,4309
200,4697,3993
201,4665,4479
202,4729,4628
203,4746,4047
204,4669,4649
205,4808,4651
206,2378,4424
207,240528,4664
208,211800,4682
209,238242,4698
210,241175,4699
211,245585,4697
212,236194,4665
213,56805,4729
214,246505,4746
215,105735,4707
216,236509,4669
217,208877,4808
218,208876,2378
219,236503,240528
220,70192,211800
221,70194,238242
222,70196,241175
223,231500,245585
224,236843,236194
225,238887,56805
226,238902,246505
227,126748,105735
228,240106,236509
229,105808,208877
230,239011,208876
231,236422,236503
232,58387,70192
233,176995,70194
234,126185,70169
235,126164,70167
236,126182,70196
237,126161,70166
238,126165,70168
239,126186,231500
240,209079,236843
241,126175,85891
242,209081,238887
243,126181,126748
244,126183,240106
245,126178,105808
246,126173,239011
247,126174,236422
248,126170,58387
249,126163,176995
250,126184,126185
251,159559,126164
252,159557,209079
253,159558,126182
254,159563,126161
255,159555,126165
256,159561,126186
257,159560,126175
258,159554,209081
259,234396,126181
260,159562,126183
261,237237,126178
262,247341,126173
263,231450,126174
264,149663,126170
265,117280,126163
266,149216,126184
267,189847,237237
268,233994,247341
269,234049,231450
270,234311,149663
271,153891,164516
272,80154,117280
273,47721,149216
274,144393,189847
275,58265,233781
276,35775,233994
277,151450,234049
278,158724,59112
279,157106,234311
280,66239,154287
281,159240,80154
282,71248,47721
283,236596,144393
284,251995,58265
285,237237,35775
286,210459,151450
287,252327,158724
288,252848,157106
289,249308,71248
290,195122,236596
291,253170,251995
292,219634,237237
293,253225,210459
294,194873,252311
295,253449,252327
296,253363,252848
297,253661,249308
298,228726,195122
299,16879,253170
300,37663,219634
301,159791,253225
302,161363,194873
303,161519,253449
304,76854,253363
305,2462,253661
306,32195,228726
307,77911,16879
308,78220,37663
309,78233,159791
310,78281,161363
311,79880,161519
312,72205,76854
313,72135,2462
314,188560,32195
315,72112,77911
316,72190,65035
317,164516,78220
318,164513,78233
319,164512,78281
320,164518,79880
321,164510,72135
322,164522,188560
323,164501,72112
324,164504,72190
325,164514,164512
326,164499,164518
327,164506,164510
328,164500,164522
329,164515,164501
330,164502,164504
331,164511,164514
332,164520,164499
333,164508,164506
334,80046,164500
335,57579,164515
336,78031,80046
337,80145,57579
338,80189,78031
339,83498,80145
340,84129,83508
341,83618,83498
342,84631,84129
343,85010,83618
344,85048,84631
345,37973,85010
346,37972,164502
347,37971,164511
348,37970,164520
349,37969,164508
350,164519,164519
351,164509,164509
352,164507,164507
353,164503,164503
354,193647,193647
355,193270,193270
356,164472,164472
357,194994,194994
358,72167,72111
359,72116,72167
360,164482,196172
361,169943,164482
362,144202,78406
363,72147,144202
364,37968,72147
365,37967,85048
366,37966,85027
367,85843,86096
368,86096,86387
369,86387,86891
370,87106,85819
371,85819,87918
372,87563,85015
373,87918,88039
374,85015,87337
375,88039,89048
376,87337,64296
377,89048,75925
378,75925,89456
379,4251,4251
380,89456,89422
381,89422,89501
382,90244,90244
383,76090,76090
384,90423,90423
385,90891,85922
386,85922,57485
387,57485,91792
388,91792,31536
389,76682,76682
390,92044,92044
391,95352,95352
392,96643,91830
393,92183,96643
394,96865,92183
395,55406,96865
396,95485,55406
397,99311,95485
398,96647,96647
399,100901,55318
400,55318,15978
401,101062,101169
402,15978,86154
403,101169,101802
404,86154,88443
405,101802,102028
406,102028,102487
407,102487,55624
408,55624,58276
409,58276,3524
410,3524,104635
411,103256,104332
412,35385,103256
413,90582,35385
414,219580,90582
415,161382,96704
416,161384,219580
417,161377,161382
418,161383,161384
419,6223,161377
420,216787,161383
421,51486,6223
422,156953,216787
423,54069,51486
424,223026,156953
425,171248,54069
426,158912,223026
427,227478,171248
428,158912,158912
429,56366,227478
430,14966,158912
431,158912,56366
432,175678,159235
433,58520,14966
434,220372,158912
435,222364,175678
436,175900,228055
437,105735,58520
438,101602,220372
439,254929,222364
440,246991,175900
441,256599,105735
442,88257,101602
443,82999,254929
444,252297,246991
445,252287,159542
446,252282,159551
447,83130,159541
448,58315,159544
449,58344,159538
450,57478,159548
451,58415,159550
452,58545,159543
453,58197,159546
454,58540,159549
455,58749,159540
456,58892,234394
457,740,159547
458,37480,88257
459,60536,82999
460,61420,252289
461,61753,252282
462,61775,83130
463,61975,252297
464,62144,252287
465,62315,83693
466,61843,58315
467,63199,58344
468,56865,57478
469,31784,58415
470,62358,58545
471,64182,58197
472,65120,58540
473,240271,58749
474,85891,58892
475,153662,740
476,241978,37480
477,231450,60536
478,58265,61753
479,258954,61775
480,74770,62315
481,113531,61843
482,114955,63199
483,101685,56865
484,54098,31784
485,75959,62358
486,115420,63664
487,115889,64182
488,54175,64062
489,64372,65120
490,116583,54768
491,99491,240271
492,116839,153662
493,117411,241978
494,118076,142950
495,84035,248277
496,252311,231450
497,253661,58265
498,253147,258954
499,36965,113531
500,836,101685
501,54221,114955
502,54855,54098
503,54947,75959
504,5774,115420
505,54901,115889
506,54648,54175
507,55356,64372
508,55426,116583
509,273119,99491
510,264952,116839
511,266080,117411
512,232781,118076
513,273392,66239
514,265827,84035
515,266054,253661
516,266081,253147
517,260839,36965
518,276179,836
519,276564,54221
520,271238,54855
521,277077,54947
522,140602,54648
523,141606,5774
524,115237,54901
525,33569,55356
526,70737,54560
527,54920,55426
528,123137,16062
529,144076,273119
530,125781,148394
531,89644,264952
532,144397,266080
533,96704,273392
534,109842,265827
535,109946,266054
536,109934,266081
537,110050,260839
538,110051,276179
539,780,276564
540,112959,271238
541,274009,277077
542,264100,268231
543,260853,123641
544,281263,140602
545,272996,141606
546,255946,115237
547,82968,33569
548,83050,70737
549,252294,54920
550,252298,123137
551,179580,144076
552,226989,125781
553,229113,89644
554,16607,144397
555,16687,109842
556,16699,109934
557,16737,110050
558,16783,110051
559,5015,112959
560,16817,274009
561,14841,264100
562,16774,272998
563,5015,260853
564,16112,281263
565,16933,272996
566,83028,255946
567,252285,263659
568,85246,267880
569,83059,82968
570,267880,252298
571,263659,83050
572,269457,83058
573,264088,252294
574,272029,179580
575,255307,226989
576,264102,231457
577,255957,231457
578,275743,229113
579,271820,16607
580,270057,16687
581,4630,16699
582,4879,16737
583,4774,16783
584,4924,5015
585,4925,16817
586,4176,14841
587,4946,15333
588,4953,16774
589,4964,5015
590,4707,16069
591,4663,16112
592,4998,16933
593,5005,252301
594,4151,83028
595,169726,85246
596,170789,252285
597,174592,83059
598,176669,83250
599,59260,269457
600,186644,264088
601,255575,272029
602,153650,265825
