,skillid,prereq
0,433,432
1,432,431
2,448,443
3,448,435
4,450,449
5,514,6816
6,514,6895
7,431,459
8,431,3693
9,434,432
10,449,432
11,513,512
12,438,434
13,445,443
14,445,438
15,461,460
16,461,3723
17,479,469
18,512,459
19,512,7727
20,437,432
21,453,452
22,453,451
23,453,437
24,460,459
25,460,3712
26,515,514
27,515,512
28,467,459
29,467,3725
30,467,3732
31,516,515
32,464,459
33,464,3717
34,464,3718
35,464,3719
36,465,459
37,435,431
38,521,515
39,521,6900
40,521,6901
41,480,479
42,480,478
43,471,459
44,471,467
45,481,480
46,440,438
47,441,438
48,473,472
49,476,464
50,476,475
51,442,435
52,459,3721
53,459,3722
54,526,525
55,526,524
56,475,472
57,439,431
58,523,515
59,457,453
60,457,443
61,457,6903
62,525,467
63,487,479
64,485,479
65,443,432
66,486,479
67,472,471
68,446,443
69,478,469
70,462,461
71,444,443
72,455,454
73,455,446
74,469,468
75,469,3724
76,469,3731
77,447,443
78,447,437
79,454,453
80,520,515
81,520,6900
82,520,6901
83,470,469
84,436,432
85,452,432
86,463,459
87,463,3717
88,463,3718
89,463,3719
90,522,515
91,522,6893
92,522,6894
93,468,467
94,527,526
95,488,484
96,488,485
97,488,486
98,488,487
99,477,473
100,477,476
101,451,450
102,482,481
103,483,479
104,456,453
105,456,443
106,456,6903
107,524,467
108,474,472
109,474,465
110,974,973
111,941,940
112,941,468
113,975,974
114,975,963
115,975,8839
116,715,514
117,715,6895
118,2021,7657
119,944,943
120,944,462
121,944,940
122,518,515
123,518,6893
124,518,6894
125,466,459
126,484,479
127,2022,988
128,2022,7657
129,717,714
130,717,715
131,719,713
132,2016,2015
133,2025,984
134,2025,6747
135,2025,6748
136,725,724
137,991,990
138,2012,2011
139,2013,2011
140,2028,2027
141,2028,8838
142,864,516
143,864,7727
144,864,4227
145,962,961
146,978,974
147,978,963
148,978,8839
149,989,988
150,2023,2022
151,2023,8839
152,2018,6890
153,2018,8808
154,942,940
155,960,6903
156,2027,2025
157,2027,8839
158,712,514
159,712,6896
160,980,974
161,980,963
162,980,8838
163,721,520
164,721,521
165,721,6900
166,726,724
167,726,517
168,943,466
169,976,974
170,976,963
171,976,8839
172,2010,2008
173,2011,985
174,2030,2025
175,2030,8839
176,961,960
177,988,981
178,988,7657
179,2015,992
180,2015,6890
181,2015,7654
182,965,962
183,965,940
184,868,4227
185,868,4229
186,867,864
187,867,865
188,867,515
189,2020,2019
190,718,713
191,866,864
192,985,984
193,985,9164
194,969,968
195,969,6903
196,2007,2005
197,968,964
198,720,713
199,2006,2005
200,963,962
201,727,726
202,870,516
203,870,3725
204,990,975
205,990,976
206,990,978
207,970,969
208,972,962
209,2024,2023
210,713,712
211,979,974
212,979,963
213,979,8838
214,2008,2026
215,2008,8804
216,2026,991
217,2026,8804
218,2026,8802
219,865,516
220,865,7727
221,865,4229
222,983,972
223,983,973
224,986,984
225,2005,8802
226,716,712
227,716,6899
228,982,972
229,982,973
230,2019,987
231,2019,8794
232,2019,8795
233,966,962
234,966,940
235,967,962
236,967,6903
237,517,516
238,984,9163
239,869,514
240,869,864
241,869,865
242,2029,2028
243,977,974
244,977,963
245,977,8794
246,3686,8792
247,971,968
248,971,940
249,714,712
250,714,6894
251,714,6893
252,964,962
253,964,6903
254,519,515
255,2014,983
256,2014,2005
257,728,727
258,728,721
259,728,723
260,973,962
261,987,986
262,2009,2008
263,992,7653
264,992,7654
265,992,7655
266,723,523
267,724,516
268,981,974
269,981,963
270,981,7657
271,2017,6890
272,2017,8804
273,722,520
274,722,521
275,722,6901
276,940,514
277,940,6813
278,940,8792
279,3687,3686
